Label,Predition
"tensor(15., device='cuda:0')","tensor(15, device='cuda:0')"
"tensor(22., device='cuda:0')","tensor(17, device='cuda:0')"
"tensor(35., device='cuda:0')","tensor(18, device='cuda:0')"
"tensor(6., device='cuda:0')","tensor(11, device='cuda:0')"
"tensor(26., device='cuda:0')","tensor(18, device='cuda:0')"
"tensor(11., device='cuda:0')","tensor(11, device='cuda:0')"
"tensor(8., device='cuda:0')","tensor(8, device='cuda:0')"
"tensor(4., device='cuda:0')","tensor(6, device='cuda:0')"
"tensor(11., device='cuda:0')","tensor(11, device='cuda:0')"
"tensor(8., device='cuda:0')","tensor(23, device='cuda:0')"
"tensor(15., device='cuda:0')","tensor(15, device='cuda:0')"
"tensor(14., device='cuda:0')","tensor(40, device='cuda:0')"
"tensor(14., device='cuda:0')","tensor(15, device='cuda:0')"
"tensor(8., device='cuda:0')","tensor(8, device='cuda:0')"
"tensor(17., device='cuda:0')","tensor(17, device='cuda:0')"
"tensor(18., device='cuda:0')","tensor(18, device='cuda:0')"
"tensor(15., device='cuda:0')","tensor(15, device='cuda:0')"
"tensor(21., device='cuda:0')","tensor(18, device='cuda:0')"
"tensor(19., device='cuda:0')","tensor(19, device='cuda:0')"
"tensor(7., device='cuda:0')","tensor(11, device='cuda:0')"
"tensor(25., device='cuda:0')","tensor(26, device='cuda:0')"
"tensor(19., device='cuda:0')","tensor(19, device='cuda:0')"
"tensor(8., device='cuda:0')","tensor(11, device='cuda:0')"
"tensor(15., device='cuda:0')","tensor(15, device='cuda:0')"
"tensor(11., device='cuda:0')","tensor(10, device='cuda:0')"
"tensor(6., device='cuda:0')","tensor(11, device='cuda:0')"
"tensor(40., device='cuda:0')","tensor(14, device='cuda:0')"
"tensor(14., device='cuda:0')","tensor(8, device='cuda:0')"
"tensor(45., device='cuda:0')","tensor(16, device='cuda:0')"
"tensor(27., device='cuda:0')","tensor(37, device='cuda:0')"
"tensor(14., device='cuda:0')","tensor(14, device='cuda:0')"
"tensor(11., device='cuda:0')","tensor(11, device='cuda:0')"
"tensor(26., device='cuda:0')","tensor(40, device='cuda:0')"
"tensor(15., device='cuda:0')","tensor(15, device='cuda:0')"
"tensor(50., device='cuda:0')","tensor(15, device='cuda:0')"
"tensor(21., device='cuda:0')","tensor(26, device='cuda:0')"
"tensor(17., device='cuda:0')","tensor(17, device='cuda:0')"
"tensor(17., device='cuda:0')","tensor(26, device='cuda:0')"
"tensor(14., device='cuda:0')","tensor(14, device='cuda:0')"
"tensor(20., device='cuda:0')","tensor(20, device='cuda:0')"
"tensor(26., device='cuda:0')","tensor(26, device='cuda:0')"
"tensor(41., device='cuda:0')","tensor(27, device='cuda:0')"
"tensor(20., device='cuda:0')","tensor(20, device='cuda:0')"
"tensor(15., device='cuda:0')","tensor(15, device='cuda:0')"
"tensor(7., device='cuda:0')","tensor(14, device='cuda:0')"
"tensor(10., device='cuda:0')","tensor(6, device='cuda:0')"
"tensor(18., device='cuda:0')","tensor(26, device='cuda:0')"
"tensor(14., device='cuda:0')","tensor(6, device='cuda:0')"
"tensor(15., device='cuda:0')","tensor(15, device='cuda:0')"
"tensor(11., device='cuda:0')","tensor(14, device='cuda:0')"
"tensor(44., device='cuda:0')","tensor(26, device='cuda:0')"
"tensor(15., device='cuda:0')","tensor(15, device='cuda:0')"
"tensor(15., device='cuda:0')","tensor(15, device='cuda:0')"
"tensor(27., device='cuda:0')","tensor(14, device='cuda:0')"
"tensor(15., device='cuda:0')","tensor(15, device='cuda:0')"
"tensor(26., device='cuda:0')","tensor(26, device='cuda:0')"
"tensor(15., device='cuda:0')","tensor(15, device='cuda:0')"
"tensor(7., device='cuda:0')","tensor(20, device='cuda:0')"
"tensor(26., device='cuda:0')","tensor(26, device='cuda:0')"
"tensor(0., device='cuda:0')","tensor(40, device='cuda:0')"
"tensor(7., device='cuda:0')","tensor(14, device='cuda:0')"
"tensor(15., device='cuda:0')","tensor(15, device='cuda:0')"
"tensor(40., device='cuda:0')","tensor(27, device='cuda:0')"
"tensor(15., device='cuda:0')","tensor(15, device='cuda:0')"
"tensor(29., device='cuda:0')","tensor(26, device='cuda:0')"
"tensor(6., device='cuda:0')","tensor(15, device='cuda:0')"
"tensor(21., device='cuda:0')","tensor(26, device='cuda:0')"
"tensor(24., device='cuda:0')","tensor(37, device='cuda:0')"
"tensor(15., device='cuda:0')","tensor(15, device='cuda:0')"
"tensor(14., device='cuda:0')","tensor(14, device='cuda:0')"
"tensor(12., device='cuda:0')","tensor(14, device='cuda:0')"
"tensor(15., device='cuda:0')","tensor(15, device='cuda:0')"
"tensor(20., device='cuda:0')","tensor(20, device='cuda:0')"
"tensor(17., device='cuda:0')","tensor(17, device='cuda:0')"
"tensor(42., device='cuda:0')","tensor(26, device='cuda:0')"
"tensor(15., device='cuda:0')","tensor(14, device='cuda:0')"
"tensor(17., device='cuda:0')","tensor(17, device='cuda:0')"
"tensor(18., device='cuda:0')","tensor(17, device='cuda:0')"
"tensor(17., device='cuda:0')","tensor(17, device='cuda:0')"
"tensor(17., device='cuda:0')","tensor(16, device='cuda:0')"
"tensor(42., device='cuda:0')","tensor(26, device='cuda:0')"
"tensor(20., device='cuda:0')","tensor(20, device='cuda:0')"
"tensor(6., device='cuda:0')","tensor(37, device='cuda:0')"
"tensor(14., device='cuda:0')","tensor(8, device='cuda:0')"
"tensor(11., device='cuda:0')","tensor(11, device='cuda:0')"
"tensor(15., device='cuda:0')","tensor(15, device='cuda:0')"
"tensor(15., device='cuda:0')","tensor(15, device='cuda:0')"
"tensor(6., device='cuda:0')","tensor(14, device='cuda:0')"
"tensor(47., device='cuda:0')","tensor(19, device='cuda:0')"
"tensor(14., device='cuda:0')","tensor(14, device='cuda:0')"
"tensor(50., device='cuda:0')","tensor(14, device='cuda:0')"
"tensor(22., device='cuda:0')","tensor(17, device='cuda:0')"
"tensor(15., device='cuda:0')","tensor(15, device='cuda:0')"
"tensor(8., device='cuda:0')","tensor(26, device='cuda:0')"
"tensor(38., device='cuda:0')","tensor(15, device='cuda:0')"
"tensor(37., device='cuda:0')","tensor(17, device='cuda:0')"
"tensor(48., device='cuda:0')","tensor(26, device='cuda:0')"
"tensor(14., device='cuda:0')","tensor(14, device='cuda:0')"
"tensor(50., device='cuda:0')","tensor(14, device='cuda:0')"
"tensor(15., device='cuda:0')","tensor(15, device='cuda:0')"
"tensor(14., device='cuda:0')","tensor(6, device='cuda:0')"
"tensor(14., device='cuda:0')","tensor(14, device='cuda:0')"
"tensor(50., device='cuda:0')","tensor(15, device='cuda:0')"
"tensor(8., device='cuda:0')","tensor(8, device='cuda:0')"
"tensor(14., device='cuda:0')","tensor(14, device='cuda:0')"
"tensor(18., device='cuda:0')","tensor(17, device='cuda:0')"
"tensor(6., device='cuda:0')","tensor(15, device='cuda:0')"
"tensor(41., device='cuda:0')","tensor(40, device='cuda:0')"
"tensor(11., device='cuda:0')","tensor(8, device='cuda:0')"
"tensor(14., device='cuda:0')","tensor(15, device='cuda:0')"
"tensor(14., device='cuda:0')","tensor(14, device='cuda:0')"
"tensor(14., device='cuda:0')","tensor(14, device='cuda:0')"
"tensor(50., device='cuda:0')","tensor(15, device='cuda:0')"
"tensor(11., device='cuda:0')","tensor(8, device='cuda:0')"
"tensor(26., device='cuda:0')","tensor(26, device='cuda:0')"
"tensor(13., device='cuda:0')","tensor(11, device='cuda:0')"
"tensor(14., device='cuda:0')","tensor(14, device='cuda:0')"
"tensor(17., device='cuda:0')","tensor(17, device='cuda:0')"
"tensor(11., device='cuda:0')","tensor(11, device='cuda:0')"
"tensor(23., device='cuda:0')","tensor(23, device='cuda:0')"
"tensor(20., device='cuda:0')","tensor(20, device='cuda:0')"
"tensor(8., device='cuda:0')","tensor(8, device='cuda:0')"
"tensor(6., device='cuda:0')","tensor(8, device='cuda:0')"
"tensor(20., device='cuda:0')","tensor(15, device='cuda:0')"
"tensor(7., device='cuda:0')","tensor(11, device='cuda:0')"
"tensor(37., device='cuda:0')","tensor(6, device='cuda:0')"
